id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
090800,"3,561","1,495",18,20,"1,457",15,451,4,24,7,37,138,58,710,13
090900,"5,679","2,497",35,33,"2,429",17,421,5,21,12,64,177,97,"1,584",31
091000,"9,915","4,290",64,66,"4,160",31,677,10,44,7,132,367,153,"2,698",41
091100,"14,508","5,514",94,82,"5,338",40,957,19,51,14,174,552,226,"3,259",46
091200,"23,863","11,361",149,153,"11,059",66,"2,787",16,258,22,310,910,566,"5,997",127
091300,"10,037","4,446",68,58,"4,320",23,826,12,42,19,118,377,151,"2,703",49
091400,"8,107","3,253",37,34,"3,182",32,637,14,42,16,96,255,225,"1,826",39
100100,"49,153","26,314",424,348,"25,542",332,"4,518",92,428,61,917,"2,485",927,"15,238",544
100200,"6,672","3,495",50,41,"3,404",29,323,7,22,3,97,203,107,"2,588",25
100300,"11,907","6,351",74,60,"6,217",62,824,19,51,9,199,438,229,"4,310",76
100400,"14,269","8,051",135,114,"7,802",121,805,34,54,15,256,618,214,"5,553",132
100500,"11,634","5,745",85,53,"5,607",37,"1,174",12,205,13,121,494,191,"3,279",81
100600,"45,671","22,184",321,185,"21,678",203,"4,315",72,383,35,593,"2,091",698,"12,647",641
100700,"2,820","1,401",16,17,"1,368",8,365,5,20,5,35,153,90,675,12
100800,"5,950","3,193",28,38,"3,127",18,460,18,24,9,88,232,113,"2,142",23
100900,"113,189","62,154","1,039",641,"60,474","1,158","8,939",430,603,129,"1,670","5,352","1,464","39,435","1,294"
101000,"33,842","16,754",255,179,"16,320",863,"4,022",81,"1,272",47,425,"2,416",660,"6,242",292
101100,"14,540","5,433",74,54,"5,305",36,"1,351",19,180,9,156,648,274,"2,496",136
101200,"10,441","5,183",67,55,"5,061",44,"1,118",23,116,5,147,522,177,"2,800",109
101300,"3,425","1,705",30,17,"1,658",14,274,8,7,1,41,108,60,"1,130",15
101400,"25,095","10,437",151,80,"10,206",65,"2,257",31,482,22,300,"1,086",399,"5,336",228
101500,"53,730","22,974",362,253,"22,359",235,"2,920",57,181,46,689,"1,749",564,"15,593",325
101600,"21,473","11,309",187,120,"11,002",176,"1,588",58,141,16,408,"1,035",373,"7,030",177
110100,"34,652","18,335",208,137,"17,990",106,"4,559",43,"1,112",41,545,"2,006","1,023","8,271",284
110200,"10,565","5,816",99,41,"5,676",54,"1,294",3,205,12,201,629,256,"2,903",119
110300,"17,525","9,105",106,102,"8,897",58,"2,460",30,550,22,263,"1,260",526,"3,581",147
